Species;BirdLife_Species;AvibaseID_BirdLife;eBird_Species;AvibaseID_eBird;BirdTree_Species;IUCN_Species;ID_IUCN;URL_IUCN;IUCN_Status
Hemicircus concretus;Hemicircus concretus;AVIBASE-A2CD62E8;Hemicircus concretus;AVIBASE-5FB4C729;Hemicircus concretus;Hemicircus concretus;22727212;https://www.iucnredlist.org/details/22727212/0;LC
Hemiprocne comata;Hemiprocne comata;AVIBASE-76477B32;Hemiprocne comata;AVIBASE-76477B32;Hemiprocne comata;Hemiprocne comata;22686900;https://www.iucnredlist.org/details/22686900/0;LC
Hemipus picatus;Hemipus picatus;AVIBASE-B0066A99;Hemipus picatus;AVIBASE-B0066A99;Hemipus picatus;Hemipus picatus;22706769;https://www.iucnredlist.org/details/22706769/0;LC
Hemithraupis flavicollis;Hemithraupis flavicollis;AVIBASE-A62F8926;Hemithraupis flavicollis;AVIBASE-A62F8926;Hemithraupis flavicollis;Hemithraupis flavicollis;22722278;https://www.iucnredlist.org/details/22722278/0;LC
Hemithraupis guira;Hemithraupis guira;AVIBASE-0C58C65E;Hemithraupis guira;AVIBASE-0C58C65E;Hemithraupis guira;Hemithraupis guira;22722272;https://www.iucnredlist.org/details/22722272/0;LC
Herpsilochmus stictocephalus;Herpsilochmus stictocephalus;AVIBASE-17487809;Herpsilochmus stictocephalus;AVIBASE-17487809;Herpsilochmus stictocephalus;Herpsilochmus stictocephalus;22701568;https://www.iucnredlist.org/details/22701568/0;LC
Heterophasia picaoides;Heterophasia picaoides;AVIBASE-3C8820C7;Heterophasia picaoides;AVIBASE-3C8820C7;Heterophasia picaoides;Heterophasia picaoides;22716717;https://www.iucnredlist.org/details/22716717/0;LC
Hierococcyx fugax;Hierococcyx fugax;AVIBASE-FBCC3C2F;Hierococcyx fugax;AVIBASE-FBCC3C2F;Cuculus fugax;Hierococcyx fugax;22728125;https://www.iucnredlist.org/details/22728125/0;LC
Hierococcyx sparverioides;Hierococcyx sparverioides;AVIBASE-CC033E81;Hierococcyx sparverioides;AVIBASE-CC033E81;Cuculus sparverioides;Hierococcyx sparverioides;22728111;https://www.iucnredlist.org/details/22728111/0;LC
Hirundinea ferruginea;Hirundinea ferruginea;AVIBASE-7B20FC9D;Hirundinea ferruginea;AVIBASE-13DAA65D;Hirundinea ferruginea;Hirundinea ferruginea;22699738;https://www.iucnredlist.org/details/22699738/0;LC
Horizoceros albocristatus;Horizocerus albocristatus;AVIBASE-8009A6BC;Horizocerus albocristatus;AVIBASE-9B729FF3;Tropicranus albocristatus;Horizocerus albocristatus;22725946;https://www.iucnredlist.org/details/22725946/0;LC
Horizoceros hartlaubi;Horizocerus hartlaubi;AVIBASE-66D85117;Horizocerus hartlaubi;AVIBASE-39F21FF9;Tockus hartlaubi;Horizocerus hartlaubi;22727003;https://www.iucnredlist.org/details/22727003/0;LC
Hylatomus lineatus;Hylatomus lineatus;AVIBASE-37C7AB16;Dryocopus lineatus;AVIBASE-3CD8FECC;Dryocopus lineatus;Hylatomus lineatus;22726489;https://www.iucnredlist.org/details/22726489/0;LC
Hylexetastes perrotii;Hylexetastes perrotii;AVIBASE-D8B2F69B;Hylexetastes perrotii;AVIBASE-A56461ED;Hylexetastes perrotii;Hylexetastes perrotii;103661301;https://www.iucnredlist.org/details/103661301/0;LC
Hylocharis eliciae;Amazilia eliciae;AVIBASE-1939B2C8;Chlorestes eliciae;AVIBASE-1939B2C8;Hylocharis eliciae;Amazilia eliciae;22687432;https://www.iucnredlist.org/details/22687432/0;LC
Hylocichla mustelina;Hylocichla mustelina;AVIBASE-8E1D9327;Hylocichla mustelina;AVIBASE-8E1D9327;Hylocichla mustelina;Hylocichla mustelina;22708670;https://www.iucnredlist.org/details/22708670/0;LC
Hylopezus macularius;Hylopezus macularius;AVIBASE-88C22F63;Hylopezus macularius;AVIBASE-CE02A627;Hylopezus macularius;Hylopezus macularius;22724505;https://www.iucnredlist.org/details/22724505/0;LC
Hylopezus perspicillatus;Hylopezus perspicillatus;AVIBASE-FC8137F0;Hylopezus perspicillatus;AVIBASE-FC8137F0;Hylopezus perspicillatus;Hylopezus perspicillatus;22703339;https://www.iucnredlist.org/details/22703339/0;LC
